country,target,year,month,new_referring_main_domains,referring_main_domains,category
UK,autorentals.com,2024,10,27,1458,car rentals
UK,autorentals.com,2024,11,22,1409,car rentals
UK,autorentals.com,2024,12,55,1327,car rentals
UK,autorentals.com,2025,1,45,1116,car rentals
UK,enjoytravel.com,2024,1,144,5224,car rentals
UK,enjoytravel.com,2024,2,136,5146,car rentals
UK,enjoytravel.com,2024,3,167,5192,car rentals
UK,enjoytravel.com,2024,4,113,5169,car rentals
UK,enjoytravel.com,2024,5,163,5162,car rentals
UK,enjoytravel.com,2024,6,202,5241,car rentals
UK,enjoytravel.com,2024,7,196,5325,car rentals
UK,enjoytravel.com,2024,8,140,5313,car rentals
UK,enjoytravel.com,2024,9,163,5364,car rentals
UK,enjoytravel.com,2024,10,270,5431,car rentals
UK,enjoytravel.com,2024,11,122,5367,car rentals
UK,enjoytravel.com,2024,12,125,5266,car rentals
UK,enjoytravel.com,2025,1,98,5197,car rentals
UK,thrifty.co.uk,2024,1,29,1614,car rentals
UK,thrifty.co.uk,2024,2,14,1528,car rentals
UK,thrifty.co.uk,2024,3,21,1506,car rentals
UK,thrifty.co.uk,2024,4,21,1501,car rentals
UK,thrifty.co.uk,2024,5,25,1457,car rentals
UK,thrifty.co.uk,2024,6,23,1386,car rentals
UK,thrifty.co.uk,2024,7,17,1362,car rentals
UK,thrifty.co.uk,2024,8,14,1315,car rentals
UK,thrifty.co.uk,2024,9,15,1292,car rentals
UK,thrifty.co.uk,2024,10,19,1240,car rentals
UK,thrifty.co.uk,2024,11,29,1220,car rentals
UK,thrifty.co.uk,2024,12,29,1188,car rentals
UK,thrifty.co.uk,2025,1,19,1162,car rentals
UK,airporttaxis-uk.co.uk,2024,1,10,745,car rentals
UK,airporttaxis-uk.co.uk,2024,2,6,659,car rentals
UK,airporttaxis-uk.co.uk,2024,3,13,644,car rentals
UK,airporttaxis-uk.co.uk,2024,4,9,600,car rentals
UK,airporttaxis-uk.co.uk,2024,5,13,558,car rentals
UK,airporttaxis-uk.co.uk,2024,6,24,545,car rentals
UK,airporttaxis-uk.co.uk,2024,7,17,538,car rentals
UK,airporttaxis-uk.co.uk,2024,8,12,530,car rentals
UK,airporttaxis-uk.co.uk,2024,9,11,524,car rentals
UK,airporttaxis-uk.co.uk,2024,10,27,519,car rentals
UK,airporttaxis-uk.co.uk,2024,11,31,533,car rentals
UK,airporttaxis-uk.co.uk,2024,12,23,539,car rentals
UK,airporttaxis-uk.co.uk,2025,1,10,529,car rentals
UK,stressfreecarrental.com,2024,1,48,2296,car rentals
UK,stressfreecarrental.com,2024,2,40,2251,car rentals
UK,stressfreecarrental.com,2024,3,59,2271,car rentals
UK,stressfreecarrental.com,2024,4,36,2239,car rentals
UK,stressfreecarrental.com,2024,5,52,2240,car rentals
UK,stressfreecarrental.com,2024,6,69,2264,car rentals
UK,stressfreecarrental.com,2024,7,66,2298,car rentals
UK,stressfreecarrental.com,2024,8,60,2314,car rentals
UK,stressfreecarrental.com,2024,9,45,2309,car rentals
UK,stressfreecarrental.com,2024,10,57,2292,car rentals
UK,stressfreecarrental.com,2024,11,68,2265,car rentals
